source,prediction_id,family,predicate,compatibility_monotone,compatibility_endpoint_change
open3dsg,open3dsg_ov:full_official_validation:10b1792a-3938-2467-8b4e-a93da27a0985_5:34:25:close by,proximity,close by,True,-0.16183018751087092
vlsat,vlsat_closed_set:full_official_validation:787ed58c-9d98-2c97-83b9-b48a609ace15:1:9:21:close by,proximity,close by,True,-0.16265991175749017
vlsat,vlsat_closed_set:full_official_validation:77361fd4-d054-2a22-88c4-b5b404f904ca:1:2:5:close by,proximity,close by,True,-0.4574921303728571
vlsat,vlsat_closed_set:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d:1:13:450:close by,proximity,close by,True,-0.053146703057917466
open3dsg,open3dsg_ov:full_official_validation:bcb0fe06-4f39-2c70-9c24-a8dd7496c2f8_3:31:10:close by,proximity,close by,True,-0.5727290959602751
vlsat,vlsat_closed_set:full_official_validation:8eabc461-5af7-2f32-8663-ce5a10fd97b3:3:49:44:close by,proximity,close by,True,-0.5501434733788381
vlsat,vlsat_closed_set:full_official_validation:4238490c-60a7-271e-9f38-3c651e3b3912:1:26:25:close by,proximity,close by,True,-0.237080956925385
sgfn,sgfn_official_full_l160:official_test:6e67e55f-1209-2cd0-8194-8c6278434c80:2:10:2:close by,proximity,close by,True,-0.1929935477304876
open3dsg,open3dsg_ov:full_official_validation:9766cbe5-6321-2e2f-8040-4e5b7a5d8ba1_4:3:34:close by,proximity,close by,True,-0.3300029754507665
sgfn,sgfn_official_full_l160:official_test:38770ca1-86d7-27b8-8619-ab66f67d9adf:2:39:42:close by,proximity,close by,True,-0.499722862669124
vlsat,vlsat_closed_set:full_official_validation:f2c76ff1-2239-29d0-87f5-8a0346584384:1:36:38:close by,proximity,close by,True,-0.23668970221167596
open3dsg,open3dsg_ov:full_official_validation:6bde607d-9162-246f-8f84-98cf7ac2374c_2:1:2:close by,proximity,close by,True,-0.3939427776904262
vlsat,vlsat_closed_set:full_official_validation:6bde60cb-9162-246f-8cf5-d04f7426e56f:1:7:1:close by,proximity,close by,True,-0.9259158115191736
vlsat,vlsat_closed_set:full_official_validation:095821f9-e2c2-2de1-9707-8f735cd1c148:1:4:6:close by,proximity,close by,True,-0.29709716988263724
sgfn,sgfn_official_full_l160:official_test:6e67e550-1209-2cd0-8294-7cc2564cf82c:3:40:35:close by,proximity,close by,True,-0.24376696749587848
open3dsg,open3dsg_ov:full_official_validation:0cac7582-8d6f-2d13-8d4b-e4041cb166c4_2:1:10:close by,proximity,close by,True,-0.5990200076070127
open3dsg,open3dsg_ov:full_official_validation:5630cfd1-12bf-2860-86b2-e7a96bc32c19_1:8:1:close by,proximity,close by,True,-0.602338071838346
open3dsg,open3dsg_ov:full_official_validation:f2c76fe7-2239-29d0-84f5-144c30fd7451_1:2:37:close by,proximity,close by,True,-0.26294687638022773
open3dsg,open3dsg_ov:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe_1:60:71:close by,proximity,close by,True,-0.5171689416027228
vlsat,vlsat_closed_set:full_official_validation:1d234024-e280-2b1a-8c28-2743fefed020:1:4:5:close by,proximity,close by,True,-0.10425989971481253
open3dsg,open3dsg_ov:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2_4:26:12:close by,proximity,close by,True,-0.49329080057210734
sgfn,sgfn_official_full_l160:official_test:7747a510-9431-24e8-8705-907ee78be2a2:1:35:8:close by,proximity,close by,True,-0.7889226684723204
sgfn,sgfn_official_full_l160:official_test:4a9a43d2-7736-2874-874d-d0fad0570e19:7:17:56:close by,proximity,close by,True,-0.41882376141038713
vlsat,vlsat_closed_set:full_official_validation:c2d9933d-1947-2fbf-81fa-c8a7f9625eea:2:22:23:close by,proximity,close by,True,-0.2451342985396846
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:7:87:1:close by,proximity,close by,True,-0.16254531557523488
open3dsg,open3dsg_ov:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2_2:10:21:close by,proximity,close by,True,-0.6020804211922887
vlsat,vlsat_closed_set:full_official_validation:ddc73799-765b-241a-9c30-f75dcb7627d4:2:9:7:close by,proximity,close by,True,-0.5751748177857917
vlsat,vlsat_closed_set:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d:1:13:21:close by,proximity,close by,True,-0.16496533065087893
open3dsg,open3dsg_ov:full_official_validation:c7895f07-339c-2d13-8176-7418b6e8d7ce_7:28:106:close by,proximity,close by,True,-0.5301454554244223
vlsat,vlsat_closed_set:full_official_validation:bcb0fe04-4f39-2c70-9f03-d0eec592de24:2:30:26:close by,proximity,close by,True,-0.37832611193454324
open3dsg,open3dsg_ov:full_official_validation:4a9a43d4-7736-2874-87a6-0c3089281af8_2:62:42:close by,proximity,close by,True,-0.7952036044712518
open3dsg,open3dsg_ov:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf_5:20:21:close by,proximity,close by,True,-0.6702912018630139
open3dsg,open3dsg_ov:full_official_validation:c2d9933f-1947-2fbf-807f-c44bc1aed269_1:12:10:close by,proximity,close by,True,-0.37092479694532504
vlsat,vlsat_closed_set:full_official_validation:a0905fdb-66f7-2272-9fc5-7c0008d5e87b:3:85:2:close by,proximity,close by,True,-0.3696945607280113
sgfn,sgfn_official_full_l160:official_test:38770ca3-86d7-27b8-85a7-7d840ffdec6a:8:69:39:close by,proximity,close by,True,-0.4304352326084318
open3dsg,open3dsg_ov:full_official_validation:e61b0e02-bada-2f31-82d0-80fc5c70bd6f_6:4:2:close by,proximity,close by,True,-0.6918147079689035
vlsat,vlsat_closed_set:full_official_validation:6bde607d-9162-246f-8f84-98cf7ac2374c:2:2:15:close by,proximity,close by,True,-0.5951666763570487
vlsat,vlsat_closed_set:full_official_validation:bf9a3d9e-45a5-2e80-83c6-4e427c5586a2:2:10:4:close by,proximity,close by,True,-0.29353521844639996
sgfn,sgfn_official_full_l160:official_test:321c8680-a5a8-2a84-85c2-816a26d59516:1:9:3:close by,proximity,close by,True,-0.6211389366222612
vlsat,vlsat_closed_set:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801:1:13:49:close by,proximity,close by,True,-0.6323138308475127
sgfn,sgfn_official_full_l160:official_test:10b17940-3938-2467-8a7a-958300ba83d3:3:12:22:close by,proximity,close by,True,-0.531481140764792
open3dsg,open3dsg_ov:full_official_validation:c92fb5b7-f771-2064-87a9-31c819832405_1:43:5:close by,proximity,close by,True,-0.012093072617534355
vlsat,vlsat_closed_set:full_official_validation:c7895f07-339c-2d13-8176-7418b6e8d7ce:5:56:417:close by,proximity,close by,True,-0.4304363706278932
vlsat,vlsat_closed_set:full_official_validation:41385849-a238-2435-81d0-ceb0eba4541a:1:45:38:close by,proximity,close by,True,-0.6043038426018333
sgfn,sgfn_official_full_l160:official_test:bf9a3da2-45a5-2e80-8219-1f0a216399fe:1:9:26:close by,proximity,close by,True,-0.1170597843146145
vlsat,vlsat_closed_set:full_official_validation:d7dc987e-a34a-2794-85c8-f75389b27532:3:15:19:close by,proximity,close by,True,-0.5696933071672453
vlsat,vlsat_closed_set:full_official_validation:43b8cae1-6678-2e38-9865-c19c07c25015:2:12:9:close by,proximity,close by,True,-0.8957497432443963
open3dsg,open3dsg_ov:full_official_validation:5630cfcf-12bf-2860-8784-83d28a611a83_1:19:5:close by,proximity,close by,True,-0.4119778846100156
open3dsg,open3dsg_ov:full_official_validation:b05fdd96-fca0-2d4f-88c3-d9dfda85c00e_1:9:1:close by,proximity,close by,True,-0.7118514492686994
sgfn,sgfn_official_full_l160:official_test:4a9a43d4-7736-2874-87a6-0c3089281af8:5:49:51:close by,proximity,close by,True,-0.12581084744093374
open3dsg,open3dsg_ov:full_official_validation:6e67e550-1209-2cd0-8294-7cc2564cf82c_2:33:6:close by,proximity,close by,True,-0.28035961540068666
sgfn,sgfn_official_full_l160:official_test:0cac7584-8d6f-2d13-8df8-c05e4307b418:4:43:4:close by,proximity,close by,True,-0.7069604205164859
open3dsg,open3dsg_ov:full_official_validation:f2c76fe5-2239-29d0-8593-1a2555125595_1:2:38:close by,proximity,close by,True,-0.46911348666162955
vlsat,vlsat_closed_set:full_official_validation:10b17957-3938-2467-88a5-9e9254930dad:8:38:74:close by,proximity,close by,True,-0.38596122590005444
vlsat,vlsat_closed_set:full_official_validation:2451c048-fae8-24f6-9043-f1604dbada2c:1:8:12:close by,proximity,close by,True,-0.1571877654087135
sgfn,sgfn_official_full_l160:official_test:0cac75dc-8d6f-2d13-8d08-9c497bd6acdc:1:22:44:close by,proximity,close by,True,-0.005804944777766422
open3dsg,open3dsg_ov:full_official_validation:4238490c-60a7-271e-9f38-3c651e3b3912_1:12:4:close by,proximity,close by,True,-0.5809531808784448
sgfn,sgfn_official_full_l160:official_test:a0905fd9-66f7-2272-9dfb-0483fdcc54c7:2:54:53:close by,proximity,close by,True,-0.42837101100056546
sgfn,sgfn_official_full_l160:official_test:10b17957-3938-2467-88a5-9e9254930dad:7:104:102:close by,proximity,close by,True,-0.15471465778211502
open3dsg,open3dsg_ov:full_official_validation:ddc73797-765b-241a-9e2c-097c5989baf6_1:1:35:close by,proximity,close by,True,-0.3069937305020524
sgfn,sgfn_official_full_l160:official_test:9766cbf7-6321-2e2f-81e1-2b46533c64dd:3:38:34:close by,proximity,close by,True,-0.5119543807854858
open3dsg,open3dsg_ov:full_official_validation:43b8cae1-6678-2e38-9865-c19c07c25015_1:7:13:close by,proximity,close by,True,-0.26568330347093466
sgfn,sgfn_official_full_l160:official_test:280d8ebb-6cc6-2788-9153-98959a2da801:3:53:54:close by,proximity,close by,True,-0.5392636348365158
vlsat,vlsat_closed_set:full_official_validation:ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64:3:7:33:close by,proximity,close by,True,-0.14859412518007378
vlsat,vlsat_closed_set:full_official_validation:137a8158-1db5-2cc0-8003-31c12610471e:3:43:8:close by,proximity,close by,True,-0.16307819732861428
vlsat,vlsat_closed_set:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a:7:76:40:close by,proximity,close by,True,-0.4697633960148895
vlsat,vlsat_closed_set:full_official_validation:c7895f7c-339c-2d13-819f-3bb0b26c91f6:4:5:29:close by,proximity,close by,True,-0.15662594115512174
vlsat,vlsat_closed_set:full_official_validation:bf9a3da2-45a5-2e80-8219-1f0a216399fe:3:3:11:close by,proximity,close by,True,-0.4735068125627907
vlsat,vlsat_closed_set:full_official_validation:cdcaf5bd-ddd8-2ed6-97c3-489e105e4dde:1:29:4:close by,proximity,close by,True,-0.40865647885902734
open3dsg,open3dsg_ov:full_official_validation:c2d99345-1947-2fbf-818d-90ea82acef29_1:1:9:close by,proximity,close by,True,-0.6097168524165524
sgfn,sgfn_official_full_l160:official_test:43b8cadf-6678-2e38-9920-064144c99406:3:7:20:close by,proximity,close by,True,-0.22287264107470528
open3dsg,open3dsg_ov:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe_1:58:59:close by,proximity,close by,True,-0.35275152468979576
vlsat,vlsat_closed_set:full_official_validation:4138585b-a238-2435-810b-9728fc989b2f:2:8:16:close by,proximity,close by,True,-0.1272678711259958
vlsat,vlsat_closed_set:full_official_validation:0cac75b7-8d6f-2d13-8cb2-0b4e06913140:3:19:52:close by,proximity,close by,True,-0.5277545138752159
open3dsg,open3dsg_ov:full_official_validation:4a9a43d2-7736-2874-874d-d0fad0570e19_5:41:73:close by,proximity,close by,True,-3.631149291254065e-07
open3dsg,open3dsg_ov:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d_4:33:38:close by,proximity,close by,True,-0.5293669793424567
open3dsg,open3dsg_ov:full_official_validation:43b8cae3-6678-2e38-9b67-5905de29f6d7_2:11:9:close by,proximity,close by,True,-0.6125545980427717
sgfn,sgfn_official_full_l160:official_test:fcf66d7b-622d-291c-86b8-7db96aebcee3:1:9:13:close by,proximity,close by,True,-0.28720169021925684
vlsat,vlsat_closed_set:full_official_validation:b05fdd8a-fca0-2d4f-8ac5-f6ae697787f5:2:12:31:close by,proximity,close by,True,-0.2767719054888669
vlsat,vlsat_closed_set:full_official_validation:4a9a43d4-7736-2874-87a6-0c3089281af8:5:17:19:close by,proximity,close by,True,-0.0889864514100609
open3dsg,open3dsg_ov:full_official_validation:321c867e-a5a8-2a84-851a-818df115be05_1:16:2:close by,proximity,close by,True,-0.8470199858163018
open3dsg,open3dsg_ov:full_official_validation:1d2f850c-d757-207c-8fba-60b90a7d4691_2:15:1:close by,proximity,close by,True,-0.7558549358883738
open3dsg,open3dsg_ov:full_official_validation:41385849-a238-2435-81d0-ceb0eba4541a_2:46:2:close by,proximity,close by,True,-0.3219387955985068
open3dsg,open3dsg_ov:full_official_validation:7747a50c-9431-24e8-877d-e60c3a341cc2_6:13:1:close by,proximity,close by,True,-0.403729135864403
vlsat,vlsat_closed_set:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801:8:62:24:close by,proximity,close by,True,-0.31602755856363374
open3dsg,open3dsg_ov:full_official_validation:6bde6083-9162-246f-8c9c-e170212059b2_1:15:14:close by,proximity,close by,True,-0.6439711619833404
vlsat,vlsat_closed_set:full_official_validation:0cac75b7-8d6f-2d13-8cb2-0b4e06913140:3:14:51:close by,proximity,close by,True,-0.16108133407676783
sgfn,sgfn_official_full_l160:official_test:4d3d82b0-8cf4-2e04-80a8-c955ea964c2f:3:5:17:close by,proximity,close by,True,-0.4873704809669182
vlsat,vlsat_closed_set:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801:4:43:2:close by,proximity,close by,True,-0.062416715477247586
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:5:8:84:close by,proximity,close by,True,-0.7937846167804842
open3dsg,open3dsg_ov:full_official_validation:c7895f7a-339c-2d13-82ac-09ef1c9001ba_2:5:20:close by,proximity,close by,True,-0.6695580612351748
open3dsg,open3dsg_ov:full_official_validation:1d233fe6-e280-2b1a-8caf-eb0d13a59ad6_1:2:12:close by,proximity,close by,True,-0.63909412911809
vlsat,vlsat_closed_set:full_official_validation:4a9a43d2-7736-2874-874d-d0fad0570e19:5:41:40:close by,proximity,close by,True,-0.1866933664327679
vlsat,vlsat_closed_set:full_official_validation:5341b7b3-8a66-2cdd-856d-9d70e194568b:2:5:10:close by,proximity,close by,True,-0.40575217758351945
vlsat,vlsat_closed_set:full_official_validation:1d234026-e280-2b1a-8fe1-713e28269f4d:3:13:14:close by,proximity,close by,True,-0.6325774806149579
vlsat,vlsat_closed_set:full_official_validation:ba6fdaac-a4c1-2dca-8380-f16765679fd7:5:17:15:close by,proximity,close by,True,-0.3675703823708115
sgfn,sgfn_official_full_l160:official_test:10b17944-3938-2467-8bac-5552375e4467:1:22:17:close by,proximity,close by,True,-0.11270550557731474
vlsat,vlsat_closed_set:full_official_validation:10b1793e-3938-2467-8b92-f56541e7ef9e:2:19:1:close by,proximity,close by,True,-0.4540389272364246
open3dsg,open3dsg_ov:full_official_validation:10b1794e-3938-2467-89a7-ebc89e84cf88_1:10:16:close by,proximity,close by,True,-0.8189571702549805
open3dsg,open3dsg_ov:full_official_validation:a0905fdd-66f7-2272-9cdb-89360888ea67_1:64:30:close by,proximity,close by,True,-0.5698988613421003
sgfn,sgfn_official_full_l160:official_test:4fbad32f-465b-2a5d-8408-146ab1d72808:4:50:38:close by,proximity,close by,True,-0.5197178956286861
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:2:15:35:close by,proximity,close by,True,-0.21680143180291978
open3dsg,open3dsg_ov:full_official_validation:f2c76fe5-2239-29d0-8593-1a2555125595_1:38:3:close by,proximity,close by,True,-0.3512952428600902
open3dsg,open3dsg_ov:full_official_validation:4fbad32f-465b-2a5d-8408-146ab1d72808_2:22:14:close by,proximity,close by,True,-0.30372557606152517
vlsat,vlsat_closed_set:full_official_validation:20c993b7-698f-29c5-847d-c8cb8a685f5a:1:11:10:close by,proximity,close by,True,-0.41945796651305944
vlsat,vlsat_closed_set:full_official_validation:321c867e-a5a8-2a84-851a-818df115be05:2:4:10:close by,proximity,close by,True,-0.525449939099995
vlsat,vlsat_closed_set:full_official_validation:c2d9933d-1947-2fbf-81fa-c8a7f9625eea:2:24:16:close by,proximity,close by,True,-0.3938228254319062
open3dsg,open3dsg_ov:full_official_validation:41385849-a238-2435-81d0-ceb0eba4541a_2:2:1:close by,proximity,close by,True,-0.9224983507504233
sgfn,sgfn_official_full_l160:official_test:1d2f850c-d757-207c-8fba-60b90a7d4691:4:41:5:close by,proximity,close by,True,-0.3559398525243359
sgfn,sgfn_official_full_l160:official_test:7747a4ec-9431-24e8-848f-897279a1e9fe:4:30:26:close by,proximity,close by,True,-0.06171744102612953
vlsat,vlsat_closed_set:full_official_validation:20c993b3-698f-29c5-859c-dca8ddecf220:2:1:6:close by,proximity,close by,True,-0.3773590296249316
vlsat,vlsat_closed_set:full_official_validation:a0905fd9-66f7-2272-9dfb-0483fdcc54c7:8:25:19:close by,proximity,close by,True,-0.6588641396022806
sgfn,sgfn_official_full_l160:official_test:10b1792e-3938-2467-8bb3-172148ae5a67:3:3:14:close by,proximity,close by,True,-0.6356440927661332
sgfn,sgfn_official_full_l160:official_test:6bde6081-9162-246f-8c4e-ffaf709d17b1:2:2:16:close by,proximity,close by,True,-0.6792004638888465
open3dsg,open3dsg_ov:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf_3:1:79:close by,proximity,close by,True,-0.18427398593098565
open3dsg,open3dsg_ov:full_official_validation:6bde607d-9162-246f-8f84-98cf7ac2374c_1:17:14:close by,proximity,close by,True,-0.04162859004560984
open3dsg,open3dsg_ov:full_official_validation:4a9a43d2-7736-2874-874d-d0fad0570e19_1:16:51:close by,proximity,close by,True,-0.1758860925946153
vlsat,vlsat_closed_set:full_official_validation:20c993b3-698f-29c5-859c-dca8ddecf220:1:4:3:close by,proximity,close by,True,-0.4024754682256156
vlsat,vlsat_closed_set:full_official_validation:42384908-60a7-271e-9c46-01e562c8974c:2:7:5:close by,proximity,close by,True,-0.49484396727154245
vlsat,vlsat_closed_set:full_official_validation:0cac75e8-8d6f-2d13-8fc4-acdbf00437c8:2:17:10:close by,proximity,close by,True,-0.5284118181103814
vlsat,vlsat_closed_set:full_official_validation:8eabc455-5af7-2f32-8606-a0bdbe6c537d:3:37:42:close by,proximity,close by,True,-0.06874937523835883
sgfn,sgfn_official_full_l160:official_test:742e8f19-be0a-294e-9eb6-50dc474b110e:1:26:20:close by,proximity,close by,True,-0.4030765752865875
open3dsg,open3dsg_ov:full_official_validation:38770ca5-86d7-27b8-871c-57fdbfe87905_8:1:7:close by,proximity,close by,True,-0.4838319910851351
open3dsg,open3dsg_ov:full_official_validation:7747a50c-9431-24e8-877d-e60c3a341cc2_7:1:38:close by,proximity,close by,True,-0.39247809104908615
vlsat,vlsat_closed_set:full_official_validation:1d233fe8-e280-2b1a-8fac-c3646a1cd64a:1:16:17:close by,proximity,close by,True,-0.5447440506571762
sgfn,sgfn_official_full_l160:official_test:d7d40d4e-7a5d-2b36-97e7-34324c52ac42:2:15:18:close by,proximity,close by,True,-0.12119515293543082
open3dsg,open3dsg_ov:full_official_validation:137a8158-1db5-2cc0-8003-31c12610471e_1:3:4:close by,proximity,close by,True,-0.899326326798275
open3dsg,open3dsg_ov:full_official_validation:bcb0fe06-4f39-2c70-9c24-a8dd7496c2f8_3:5:10:close by,proximity,close by,True,-0.5054280933870281
open3dsg,open3dsg_ov:full_official_validation:c7895f07-339c-2d13-8176-7418b6e8d7ce_3:1:19:close by,proximity,close by,True,-0.3388614602501715
vlsat,vlsat_closed_set:full_official_validation:787ed58c-9d98-2c97-83b9-b48a609ace15:1:9:11:close by,proximity,close by,True,-0.20489436112237702
open3dsg,open3dsg_ov:full_official_validation:e61b0e02-bada-2f31-82d0-80fc5c70bd6f_4:49:48:close by,proximity,close by,True,-0.3699007009510211
sgfn,sgfn_official_full_l160:official_test:5341b7b3-8a66-2cdd-856d-9d70e194568b:1:7:3:close by,proximity,close by,True,-0.5939598673339295
sgfn,sgfn_official_full_l160:official_test:38770ca5-86d7-27b8-871c-57fdbfe87905:2:30:80:close by,proximity,close by,True,-0.4427734007240618
vlsat,vlsat_closed_set:full_official_validation:8eabc45f-5af7-2f32-8528-640861d2a135:7:47:44:close by,proximity,close by,True,-0.714537774163862
sgfn,sgfn_official_full_l160:official_test:8eabc45f-5af7-2f32-8528-640861d2a135:1:3:23:close by,proximity,close by,True,-0.6094505988460293
open3dsg,open3dsg_ov:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d_3:25:2:close by,proximity,close by,True,-0.7439638458422422
vlsat,vlsat_closed_set:full_official_validation:4fbad331-465b-2a5d-8488-852fcda9513c:3:39:50:close by,proximity,close by,True,-0.3735876232587447
vlsat,vlsat_closed_set:full_official_validation:10b1793e-3938-2467-8b92-f56541e7ef9e:1:16:1:close by,proximity,close by,True,-0.4749659131718521
open3dsg,open3dsg_ov:full_official_validation:0cac7584-8d6f-2d13-8df8-c05e4307b418_1:57:2:close by,proximity,close by,True,-0.11721971869672432
