source,prediction_id,family,predicate,point_monotone,mesh_monotone,compatibility_monotone,point_endpoint_change,mesh_endpoint_change,compatibility_endpoint_change
sgfn,sgfn_official_full_l160:official_test:d7d40d4e-7a5d-2b36-97e7-34324c52ac42:1:13:1:close by,proximity,close by,True,True,True,1.3838707346954349,1.1061575852253227,-0.25039590776915754
open3dsg,open3dsg_ov:full_official_validation:8eabc45f-5af7-2f32-8528-640861d2a135_3:31:33:close by,proximity,close by,True,True,True,1.9967176508575637,1.9931669282502753,-4.967181969989372e-07
open3dsg,open3dsg_ov:full_official_validation:5341b7b3-8a66-2cdd-856d-9d70e194568b_2:10:151:close by,proximity,close by,True,True,True,1.9676481383419877,1.9680587300672308,-0.08160024802914884
vlsat,vlsat_closed_set:full_official_validation:7272e16c-a01b-20f6-8961-a0927b4a7629:1:8:9:close by,proximity,close by,True,True,True,1.0610641131983674,1.0914119678102834,-0.02600003380077598
vlsat,vlsat_closed_set:full_official_validation:9766cbe5-6321-2e2f-8040-4e5b7a5d8ba1:1:27:44:close by,proximity,close by,True,True,True,1.8823399490050843,1.9018420861406367,-0.39873411879673926
sgfn,sgfn_official_full_l160:official_test:10b1793e-3938-2467-8b92-f56541e7ef9e:2:19:20:close by,proximity,close by,True,True,True,1.8985511881737274,1.9723517420658916,-0.6236561807370093
sgfn,sgfn_official_full_l160:official_test:7747a50c-9431-24e8-877d-e60c3a341cc2:7:36:3:close by,proximity,close by,True,True,True,1.976880615453236,1.9746133119660905,-0.26697206961444186
open3dsg,open3dsg_ov:full_official_validation:0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_1:1:20:close by,proximity,close by,True,True,True,1.2503270979556347,1.1525384898227369,-0.9860956362899934
sgfn,sgfn_official_full_l160:official_test:1d234026-e280-2b1a-8fe1-713e28269f4d:1:32:4:close by,proximity,close by,True,True,True,1.9454822890645176,1.9315701474201332,-0.7738182466706116
open3dsg,open3dsg_ov:full_official_validation:43b8cae1-6678-2e38-9865-c19c07c25015_3:19:18:close by,proximity,close by,True,True,True,1.955058032771978,1.8836019001482687,-0.38862357992493046
sgfn,sgfn_official_full_l160:official_test:9af05c68-5794-2e19-8c5a-979f448da545:5:19:26:close by,proximity,close by,True,True,True,1.5139948465416642,1.5600182086911896,-0.9660334420320009
open3dsg,open3dsg_ov:full_official_validation:1d234022-e280-2b1a-8cec-e9787bb0d7b2_2:17:7:close by,proximity,close by,True,True,True,1.982894523449526,1.9577280392115186,-0.7818186086985474
sgfn,sgfn_official_full_l160:official_test:0cac7676-8d6f-2d13-8f3a-d7bf7f03e721:4:35:17:close by,proximity,close by,True,True,True,1.8696250465808497,1.875903064759194,-0.41432998872504245
vlsat,vlsat_closed_set:full_official_validation:38770ca5-86d7-27b8-871c-57fdbfe87905:1:13:61:close by,proximity,close by,True,True,True,1.888017064120204,1.8283193176290817,-0.618604873838081
vlsat,vlsat_closed_set:full_official_validation:4fbad32f-465b-2a5d-8408-146ab1d72808:3:41:15:close by,proximity,close by,True,True,True,1.579568277510456,1.6007701283733013,-0.6492551936542521
vlsat,vlsat_closed_set:full_official_validation:10b17940-3938-2467-8a7a-958300ba83d3:1:4:3:close by,proximity,close by,True,True,True,1.1547114424257463,0.9458166247879762,-0.1638634394409626
open3dsg,open3dsg_ov:full_official_validation:0cac7676-8d6f-2d13-8f3a-d7bf7f03e721_1:22:1:close by,proximity,close by,True,True,True,1.1917790912945005,0.9603255935600926,-0.9956176958585683
sgfn,sgfn_official_full_l160:official_test:0cac761b-8d6f-2d13-8f16-23a7d73c54fe:2:12:6:close by,proximity,close by,True,True,True,1.9713581596580363,1.897285084069999,-0.7066059021275273
sgfn,sgfn_official_full_l160:official_test:5341b7e3-8a66-2cdd-8709-66a2159f0017:3:16:9:close by,proximity,close by,True,True,True,1.9553771905210708,1.9022587234271244,-0.29038696796200103
vlsat,vlsat_closed_set:full_official_validation:ddc7379b-765b-241a-9f45-c37e41608726:2:6:9:close by,proximity,close by,True,True,True,1.8697784622483238,1.944212511589121,-0.7240137903360333
sgfn,sgfn_official_full_l160:official_test:1d234024-e280-2b1a-8c28-2743fefed020:3:32:22:close by,proximity,close by,True,True,True,1.9631452917033365,1.950834274212896,-0.7194810225512147
vlsat,vlsat_closed_set:full_official_validation:ddc73797-765b-241a-9e2c-097c5989baf6:2:20:11:close by,proximity,close by,True,True,True,1.9764903170187869,1.9686721582164015,-0.6584749596949511
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:5:37:21:close by,proximity,close by,True,True,True,1.9387183696832606,1.91102053594708,-0.7683617575679925
sgfn,sgfn_official_full_l160:official_test:742e8f17-be0a-294e-9dd3-52492d308e2b:2:19:9:close by,proximity,close by,True,True,True,1.871896495593837,1.8545822867733748,-0.8721828375224326
vlsat,vlsat_closed_set:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d:3:46:47:close by,proximity,close by,True,True,True,1.8412330492709352,1.6619163648152901,-0.13340985429592
open3dsg,open3dsg_ov:full_official_validation:0cac7584-8d6f-2d13-8df8-c05e4307b418_3:3:16:close by,proximity,close by,True,True,True,1.7374980388917205,1.7690450088966836,-0.00020569398296773033
open3dsg,open3dsg_ov:full_official_validation:4fbad32f-465b-2a5d-8408-146ab1d72808_1:27:28:close by,proximity,close by,True,True,True,1.487233439689256,1.4840391753630575,-0.03641435802631954
open3dsg,open3dsg_ov:full_official_validation:38770ca5-86d7-27b8-871c-57fdbfe87905_3:5:32:close by,proximity,close by,True,True,True,1.784623098263623,1.561300750515221,-0.759149027530807
vlsat,vlsat_closed_set:full_official_validation:c2d9933f-1947-2fbf-807f-c44bc1aed269:1:11:17:close by,proximity,close by,True,True,True,1.9902720528580842,1.9724608655012057,-0.09889915957773088
open3dsg,open3dsg_ov:full_official_validation:10b1792a-3938-2467-8b4e-a93da27a0985_5:34:25:close by,proximity,close by,True,True,True,1.282981053410758,1.348066881536206,-0.26656195505019
vlsat,vlsat_closed_set:full_official_validation:787ed58c-9d98-2c97-83b9-b48a609ace15:1:9:21:close by,proximity,close by,True,True,True,1.3539626849012683,1.1085292396341644,-0.08428725561385897
vlsat,vlsat_closed_set:full_official_validation:77361fd4-d054-2a22-88c4-b5b404f904ca:1:2:5:close by,proximity,close by,True,True,True,1.9856248634819904,1.962478224973586,-0.4924856726216016
vlsat,vlsat_closed_set:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d:1:13:450:close by,proximity,close by,True,True,True,1.4430034386851958,1.5522683198000824,-0.036222336163639235
open3dsg,open3dsg_ov:full_official_validation:bcb0fe06-4f39-2c70-9c24-a8dd7496c2f8_3:31:10:close by,proximity,close by,True,False,True,0.4546360892184791,0.3459822629852032,-0.6157390122996844
vlsat,vlsat_closed_set:full_official_validation:8eabc461-5af7-2f32-8663-ce5a10fd97b3:3:49:44:close by,proximity,close by,True,True,True,1.9290771719330457,1.916070209132602,-0.9451588055959167
vlsat,vlsat_closed_set:full_official_validation:4238490c-60a7-271e-9f38-3c651e3b3912:1:26:25:close by,proximity,close by,True,True,True,1.912719460519487,1.9527679859001548,-0.36432573893426834
sgfn,sgfn_official_full_l160:official_test:6e67e55f-1209-2cd0-8194-8c6278434c80:2:10:2:close by,proximity,close by,True,True,True,1.988222608205859,1.9952374682374279,-0.13168149211587613
open3dsg,open3dsg_ov:full_official_validation:9766cbe5-6321-2e2f-8040-4e5b7a5d8ba1_4:3:34:close by,proximity,close by,True,True,True,1.9773193820464425,1.9658754245655197,-0.3838842258795623
sgfn,sgfn_official_full_l160:official_test:38770ca1-86d7-27b8-8619-ab66f67d9adf:2:39:42:close by,proximity,close by,True,True,True,1.931010747594824,1.8387782054404256,-0.23072605378552868
vlsat,vlsat_closed_set:full_official_validation:f2c76ff1-2239-29d0-87f5-8a0346584384:1:36:38:close by,proximity,close by,True,True,True,1.9529765070838343,1.9383145075841968,-0.33029209505583546
open3dsg,open3dsg_ov:full_official_validation:6bde607d-9162-246f-8f84-98cf7ac2374c_2:1:2:close by,proximity,close by,False,False,True,0.7750974843833389,0.7502960390350191,-0.39843140689725753
vlsat,vlsat_closed_set:full_official_validation:6bde60cb-9162-246f-8cf5-d04f7426e56f:1:7:1:close by,proximity,close by,True,False,True,1.0289495435677605,0.43845655057345145,-0.9997250259323347
vlsat,vlsat_closed_set:full_official_validation:095821f9-e2c2-2de1-9707-8f735cd1c148:1:4:6:close by,proximity,close by,True,True,True,1.9367950802935416,1.9358883251171402,-0.4319904837771611
sgfn,sgfn_official_full_l160:official_test:6e67e550-1209-2cd0-8294-7cc2564cf82c:3:40:35:close by,proximity,close by,True,True,True,0.7851080876595753,0.6950476977945792,-0.4604572090180872
open3dsg,open3dsg_ov:full_official_validation:0cac7582-8d6f-2d13-8d4b-e4041cb166c4_2:1:10:close by,proximity,close by,True,True,True,1.7500878758661669,1.4508703093858388,-0.9948735753488516
open3dsg,open3dsg_ov:full_official_validation:5630cfd1-12bf-2860-86b2-e7a96bc32c19_1:8:1:close by,proximity,close by,True,True,True,1.7480046242789904,1.6570287505735921,-0.9034997824155383
open3dsg,open3dsg_ov:full_official_validation:f2c76fe7-2239-29d0-84f5-144c30fd7451_1:2:37:close by,proximity,close by,True,True,True,1.853998234706775,1.075926642800062,-0.14253645938497572
open3dsg,open3dsg_ov:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe_1:60:71:close by,proximity,close by,False,True,True,1.2713364995949934,1.2009048651221734,-0.5678132437185817
vlsat,vlsat_closed_set:full_official_validation:1d234024-e280-2b1a-8c28-2743fefed020:1:4:5:close by,proximity,close by,True,True,True,1.4739913975968062,1.5523548763779582,-0.1693517012353285
open3dsg,open3dsg_ov:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2_4:26:12:close by,proximity,close by,True,True,True,1.794417279251395,1.7299240340501492,-0.8336233792148626
sgfn,sgfn_official_full_l160:official_test:7747a510-9431-24e8-8705-907ee78be2a2:1:35:8:close by,proximity,close by,True,True,True,1.96619542729779,1.990462171074905,-0.8738276951640725
sgfn,sgfn_official_full_l160:official_test:4a9a43d2-7736-2874-874d-d0fad0570e19:7:17:56:close by,proximity,close by,True,True,True,1.2920466526713748,1.3359341829377889,-0.5281712989895222
vlsat,vlsat_closed_set:full_official_validation:c2d9933d-1947-2fbf-81fa-c8a7f9625eea:2:22:23:close by,proximity,close by,True,True,True,1.8636067968174284,1.8544099250969213,-0.28982211324043416
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:7:87:1:close by,proximity,close by,True,True,True,0.8775252698208794,0.7094127966527262,-0.053491295904464
open3dsg,open3dsg_ov:full_official_validation:7747a510-9431-24e8-8705-907ee78be2a2_2:10:21:close by,proximity,close by,True,True,True,1.700370395157217,1.6525830684359488,-0.984205129963902
vlsat,vlsat_closed_set:full_official_validation:ddc73799-765b-241a-9c30-f75dcb7627d4:2:9:7:close by,proximity,close by,True,True,True,1.8960377791823,1.891731880827114,-0.7264111603836814
vlsat,vlsat_closed_set:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d:1:13:21:close by,proximity,close by,True,True,True,1.778421503040927,1.7603356371672243,-0.10837094229799593
open3dsg,open3dsg_ov:full_official_validation:c7895f07-339c-2d13-8176-7418b6e8d7ce_7:28:106:close by,proximity,close by,True,True,True,1.5122922786743611,1.5199198332415995,-0.6914935650384791
vlsat,vlsat_closed_set:full_official_validation:bcb0fe04-4f39-2c70-9f03-d0eec592de24:2:30:26:close by,proximity,close by,True,True,True,0.8092082388330336,0.8084211838913486,-0.2047753854761577
open3dsg,open3dsg_ov:full_official_validation:4a9a43d4-7736-2874-87a6-0c3089281af8_2:62:42:close by,proximity,close by,True,True,True,0.5569458944105783,0.5571461993602354,-0.8518990003131022
open3dsg,open3dsg_ov:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf_5:20:21:close by,proximity,close by,True,True,True,1.9633312855380392,1.9578532385411656,-0.9464601006478865
open3dsg,open3dsg_ov:full_official_validation:c2d9933f-1947-2fbf-807f-c44bc1aed269_1:12:10:close by,proximity,close by,True,True,True,1.885007074646642,1.8714210870829286,-0.30075318019980446
vlsat,vlsat_closed_set:full_official_validation:a0905fdb-66f7-2272-9fc5-7c0008d5e87b:3:85:2:close by,proximity,close by,True,False,True,1.2179056197251874,0.6970129077936841,-0.396045898296598
sgfn,sgfn_official_full_l160:official_test:38770ca3-86d7-27b8-85a7-7d840ffdec6a:8:69:39:close by,proximity,close by,True,True,True,1.4328926652764569,1.4091500828489243,-0.42920823407008135
open3dsg,open3dsg_ov:full_official_validation:e61b0e02-bada-2f31-82d0-80fc5c70bd6f_6:4:2:close by,proximity,close by,True,True,True,1.9225922008156404,1.943135691901129,-0.9390129217782166
vlsat,vlsat_closed_set:full_official_validation:6bde607d-9162-246f-8f84-98cf7ac2374c:2:2:15:close by,proximity,close by,True,False,True,1.2725079566053483,0.48833747108578196,-0.8586371605856681
vlsat,vlsat_closed_set:full_official_validation:bf9a3d9e-45a5-2e80-83c6-4e427c5586a2:2:10:4:close by,proximity,close by,True,True,True,0.8770839884762122,0.6202863640237247,-0.07637295806555122
sgfn,sgfn_official_full_l160:official_test:321c8680-a5a8-2a84-85c2-816a26d59516:1:9:3:close by,proximity,close by,True,True,True,0.9669697319237395,0.8983765627199701,-0.6034666571119831
vlsat,vlsat_closed_set:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801:1:13:49:close by,proximity,close by,True,True,True,1.671324546168686,1.7500664553917225,-0.5552465589183897
sgfn,sgfn_official_full_l160:official_test:10b17940-3938-2467-8a7a-958300ba83d3:3:12:22:close by,proximity,close by,True,True,True,1.9633079008859662,1.9575217121231567,-0.4126310325905773
open3dsg,open3dsg_ov:full_official_validation:c92fb5b7-f771-2064-87a9-31c819832405_1:43:5:close by,proximity,close by,True,True,True,1.989392137619138,1.9869246184308773,-0.00040576601320532654
vlsat,vlsat_closed_set:full_official_validation:c7895f07-339c-2d13-8176-7418b6e8d7ce:5:56:417:close by,proximity,close by,True,True,True,1.9937868541315145,1.9967940550962777,-0.2808233134869905
vlsat,vlsat_closed_set:full_official_validation:41385849-a238-2435-81d0-ceb0eba4541a:1:45:38:close by,proximity,close by,True,True,True,1.9417668713607386,1.8930449212839506,-0.7772176833084656
sgfn,sgfn_official_full_l160:official_test:bf9a3da2-45a5-2e80-8219-1f0a216399fe:1:9:26:close by,proximity,close by,False,True,True,1.2501603335674023,1.2063517888042459,-0.05353038683621847
vlsat,vlsat_closed_set:full_official_validation:d7dc987e-a34a-2794-85c8-f75389b27532:3:15:19:close by,proximity,close by,True,True,True,1.8804771909960039,1.8259794007289214,-0.8000422976901316
vlsat,vlsat_closed_set:full_official_validation:43b8cae1-6678-2e38-9865-c19c07c25015:2:12:9:close by,proximity,close by,True,True,True,1.2563821747688029,1.2738712263095782,-0.9611689605650843
open3dsg,open3dsg_ov:full_official_validation:5630cfcf-12bf-2860-8784-83d28a611a83_1:19:5:close by,proximity,close by,True,True,True,1.7868906857333182,1.201907393908527,-0.25511460460344226
open3dsg,open3dsg_ov:full_official_validation:b05fdd96-fca0-2d4f-88c3-d9dfda85c00e_1:9:1:close by,proximity,close by,True,True,True,0.5460625983607796,0.5684613680317621,-0.9234114982905822
sgfn,sgfn_official_full_l160:official_test:4a9a43d4-7736-2874-87a6-0c3089281af8:5:49:51:close by,proximity,close by,True,True,True,1.606307367701668,1.6293191713607662,-0.1093717354745376
open3dsg,open3dsg_ov:full_official_validation:6e67e550-1209-2cd0-8294-7cc2564cf82c_2:33:6:close by,proximity,close by,True,True,True,1.2221591586164802,1.2750668572371797,-0.17236596214389377
sgfn,sgfn_official_full_l160:official_test:0cac7584-8d6f-2d13-8df8-c05e4307b418:4:43:4:close by,proximity,close by,False,False,True,0.42155469433107523,0.3102184316820882,-0.17153680004792193
open3dsg,open3dsg_ov:full_official_validation:f2c76fe5-2239-29d0-8593-1a2555125595_1:2:38:close by,proximity,close by,True,True,True,1.3084044993204795,1.873309655193968,-0.5253045896211095
vlsat,vlsat_closed_set:full_official_validation:10b17957-3938-2467-88a5-9e9254930dad:8:38:74:close by,proximity,close by,True,True,True,1.7224296940506996,1.4615840138794725,-0.7395890427260366
vlsat,vlsat_closed_set:full_official_validation:2451c048-fae8-24f6-9043-f1604dbada2c:1:8:12:close by,proximity,close by,True,True,True,1.9907233433793736,1.9663980787922606,-0.2979492968939098
sgfn,sgfn_official_full_l160:official_test:0cac75dc-8d6f-2d13-8d08-9c497bd6acdc:1:22:44:close by,proximity,close by,True,True,True,1.9944812266802607,1.993419342162369,-0.001552616364745655
open3dsg,open3dsg_ov:full_official_validation:4238490c-60a7-271e-9f38-3c651e3b3912_1:12:4:close by,proximity,close by,True,True,True,1.9193648129640766,1.9156424615056926,-0.8364648896054123
sgfn,sgfn_official_full_l160:official_test:a0905fd9-66f7-2272-9dfb-0483fdcc54c7:2:54:53:close by,proximity,close by,True,True,True,1.1314935230257688,0.8981657149398059,-0.12489557236181703
sgfn,sgfn_official_full_l160:official_test:10b17957-3938-2467-88a5-9e9254930dad:7:104:102:close by,proximity,close by,True,True,True,1.6991890613443124,1.7369691293930725,-0.20741781717605834
open3dsg,open3dsg_ov:full_official_validation:ddc73797-765b-241a-9e2c-097c5989baf6_1:1:35:close by,proximity,close by,True,True,True,1.8241233985194898,1.8400368535166989,-0.9735373021242685
sgfn,sgfn_official_full_l160:official_test:9766cbf7-6321-2e2f-81e1-2b46533c64dd:3:38:34:close by,proximity,close by,True,True,True,1.82031105518229,1.826842734726358,-0.6313810062496067
open3dsg,open3dsg_ov:full_official_validation:43b8cae1-6678-2e38-9865-c19c07c25015_1:7:13:close by,proximity,close by,True,True,True,1.9840865844551048,1.982762907986408,-0.3618979953845938
sgfn,sgfn_official_full_l160:official_test:280d8ebb-6cc6-2788-9153-98959a2da801:3:53:54:close by,proximity,close by,True,True,True,1.345913640942843,1.3641927300540395,-0.31573849938339404
vlsat,vlsat_closed_set:full_official_validation:ba6fdaaa-a4c1-2dca-8163-a52b18bf6b64:3:7:33:close by,proximity,close by,True,True,True,1.9788125612409542,1.9552801713943588,-0.04149078915049558
vlsat,vlsat_closed_set:full_official_validation:137a8158-1db5-2cc0-8003-31c12610471e:3:43:8:close by,proximity,close by,True,True,True,1.3917079661772656,1.016541213296526,-0.39113349809785136
vlsat,vlsat_closed_set:full_official_validation:38770ca3-86d7-27b8-85a7-7d840ffdec6a:7:76:40:close by,proximity,close by,True,True,True,1.9828538953836188,1.9789500840471201,-0.6470410915598265
vlsat,vlsat_closed_set:full_official_validation:c7895f7c-339c-2d13-819f-3bb0b26c91f6:4:5:29:close by,proximity,close by,True,True,True,1.149989428845393,0.36827101979095234,-0.09327761035315907
vlsat,vlsat_closed_set:full_official_validation:bf9a3da2-45a5-2e80-8219-1f0a216399fe:3:3:11:close by,proximity,close by,True,True,True,1.953201725515625,1.9482885801585226,-0.8004071294526302
vlsat,vlsat_closed_set:full_official_validation:cdcaf5bd-ddd8-2ed6-97c3-489e105e4dde:1:29:4:close by,proximity,close by,True,False,True,0.5072322572499595,0.1665129260748242,-0.32048146574557823
open3dsg,open3dsg_ov:full_official_validation:c2d99345-1947-2fbf-818d-90ea82acef29_1:1:9:close by,proximity,close by,True,True,True,1.6447816050040118,1.5477237501201975,-0.9361105637434319
sgfn,sgfn_official_full_l160:official_test:43b8cadf-6678-2e38-9920-064144c99406:3:7:20:close by,proximity,close by,True,True,True,1.964976959600837,1.9506152169646844,-0.4489103810180034
open3dsg,open3dsg_ov:full_official_validation:7747a4ec-9431-24e8-848f-897279a1e9fe_1:58:59:close by,proximity,close by,True,True,True,1.1892887158676162,0.9078755704051498,-0.259546711091434
vlsat,vlsat_closed_set:full_official_validation:4138585b-a238-2435-810b-9728fc989b2f:2:8:16:close by,proximity,close by,True,True,True,1.6196113246364137,1.596203592894884,-0.11193962529923085
vlsat,vlsat_closed_set:full_official_validation:0cac75b7-8d6f-2d13-8cb2-0b4e06913140:3:19:52:close by,proximity,close by,True,True,True,1.8430854833824288,1.9105458395961692,-0.8055169694626076
open3dsg,open3dsg_ov:full_official_validation:4a9a43d2-7736-2874-874d-d0fad0570e19_5:41:73:close by,proximity,close by,True,True,True,1.988860518800653,1.987565990618542,-1.0316940868927866e-09
open3dsg,open3dsg_ov:full_official_validation:9766cbf5-6321-2e2f-8131-78c4e204635d_4:33:38:close by,proximity,close by,True,True,True,1.8066723338683492,1.78260675191103,-0.6744367884622251
open3dsg,open3dsg_ov:full_official_validation:43b8cae3-6678-2e38-9b67-5905de29f6d7_2:11:9:close by,proximity,close by,False,True,True,0.09670634496643626,0.07970233706763641,-0.9715251918066116
sgfn,sgfn_official_full_l160:official_test:fcf66d7b-622d-291c-86b8-7db96aebcee3:1:9:13:close by,proximity,close by,True,True,True,1.9749132675411096,1.957038530828989,-0.346339222926845
vlsat,vlsat_closed_set:full_official_validation:b05fdd8a-fca0-2d4f-8ac5-f6ae697787f5:2:12:31:close by,proximity,close by,True,True,True,1.5394509014152329,1.6362493296702325,-0.09080839929455087
vlsat,vlsat_closed_set:full_official_validation:4a9a43d4-7736-2874-87a6-0c3089281af8:5:17:19:close by,proximity,close by,True,True,True,1.4497437480160384,1.3708543784043277,-0.1312358954510937
open3dsg,open3dsg_ov:full_official_validation:321c867e-a5a8-2a84-851a-818df115be05_1:16:2:close by,proximity,close by,True,True,True,1.7012017033784685,1.6618100081078597,-0.952367984499259
open3dsg,open3dsg_ov:full_official_validation:1d2f850c-d757-207c-8fba-60b90a7d4691_2:15:1:close by,proximity,close by,True,True,True,1.6965118050901817,1.670750843995708,-0.9736211430816534
open3dsg,open3dsg_ov:full_official_validation:41385849-a238-2435-81d0-ceb0eba4541a_2:46:2:close by,proximity,close by,True,True,True,1.96596782237107,1.9840696659836965,-0.08707085749677468
open3dsg,open3dsg_ov:full_official_validation:7747a50c-9431-24e8-877d-e60c3a341cc2_6:13:1:close by,proximity,close by,True,True,True,1.6688155278595849,1.558272245346469,-0.992495368055324
vlsat,vlsat_closed_set:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801:8:62:24:close by,proximity,close by,True,True,True,1.9283763466034554,1.9485991059778165,-0.4186974679771489
open3dsg,open3dsg_ov:full_official_validation:6bde6083-9162-246f-8c9c-e170212059b2_1:15:14:close by,proximity,close by,True,True,True,1.8846593309371311,1.9689629333842973,-0.91288748892679
vlsat,vlsat_closed_set:full_official_validation:0cac75b7-8d6f-2d13-8cb2-0b4e06913140:3:14:51:close by,proximity,close by,False,False,True,0.614316861135776,0.5343670532760376,-0.15851560471409076
sgfn,sgfn_official_full_l160:official_test:4d3d82b0-8cf4-2e04-80a8-c955ea964c2f:3:5:17:close by,proximity,close by,True,True,True,1.9323202809356552,1.770633925122123,-0.7393015634944838
vlsat,vlsat_closed_set:full_official_validation:280d8ebb-6cc6-2788-9153-98959a2da801:4:43:2:close by,proximity,close by,True,True,True,0.9703704460716694,0.8711997319921168,-0.03191471970788751
vlsat,vlsat_closed_set:full_official_validation:38770ca1-86d7-27b8-8619-ab66f67d9adf:5:8:84:close by,proximity,close by,True,True,True,1.7749757698096023,1.5998282590324129,-0.9926020548883486
open3dsg,open3dsg_ov:full_official_validation:c7895f7a-339c-2d13-82ac-09ef1c9001ba_2:5:20:close by,proximity,close by,True,True,True,1.9290491068000535,1.981996121606004,-0.944833767178549
open3dsg,open3dsg_ov:full_official_validation:1d233fe6-e280-2b1a-8caf-eb0d13a59ad6_1:2:12:close by,proximity,close by,True,True,True,1.6374536063185707,1.7686245089030657,-0.5766137528718029
vlsat,vlsat_closed_set:full_official_validation:4a9a43d2-7736-2874-874d-d0fad0570e19:5:41:40:close by,proximity,close by,True,True,True,1.8490771766756455,1.8023964755323143,-0.07459832790409071
vlsat,vlsat_closed_set:full_official_validation:5341b7b3-8a66-2cdd-856d-9d70e194568b:2:5:10:close by,proximity,close by,True,True,True,1.6606288536951554,1.6922791880298842,-0.7936495539207341
vlsat,vlsat_closed_set:full_official_validation:1d234026-e280-2b1a-8fe1-713e28269f4d:3:13:14:close by,proximity,close by,True,True,True,1.9390364811514782,1.850010985223419,-0.8892766775320075
vlsat,vlsat_closed_set:full_official_validation:ba6fdaac-a4c1-2dca-8380-f16765679fd7:5:17:15:close by,proximity,close by,True,True,True,1.9573672356309888,1.9636683056395268,-0.7076718362096304
sgfn,sgfn_official_full_l160:official_test:10b17944-3938-2467-8bac-5552375e4467:1:22:17:close by,proximity,close by,True,True,True,1.2561984065826735,1.1450729250426765,-0.056570827824589776
vlsat,vlsat_closed_set:full_official_validation:10b1793e-3938-2467-8b92-f56541e7ef9e:2:19:1:close by,proximity,close by,True,True,True,1.5833787626613542,1.5524413757806022,-0.8055526556342372
